idiom,num_contexts,fi_contexts,english_translations
auki,4,Haluan olla täysin perse auki neljässä sekunnissa. ||| On tavattava Jack.Avioliitto rakoilee ja olemme aivan auki. ||| Olen persauki. ||| Otat riskin Lafayette-aukiolla.,"I want to be completely broke in the next four secds. ||| - I have to see Jack. Okay. My marriage is in trouble, We're going broke, and I.. ||| Okay, I'm broke, man. ||| I watch the news. You're going for broke in Lafayette square."
kuin täi terva,4,"Olen kuin täi tervassa, riskien ympäröimä. ||| Puolimatkassa Newmar oli jäänyt kuin täi tervaan. ||| Herra Tuckeria lainatakseni: Olemme kuin täit tervassa. ||| Sano että olen sivulla 411 ja etenen kuin täi tervassa.","I'm a fly in the ointment. ||| It was now a race for pride. ||| To quote our very own Mr Tucker, it means we're dead in the water. ||| You can tell him this: I'm on page 411 and I have real problems with it."
kukkona tunkio,4,- Kukkona tunkiolla? ||| Et ole enää kukkona tunkiolla. ||| Hän häärii täällä kukkona tunkiolla. ||| Darby halusi olla kukkona tunkiolla.,"ARE THE BLOODY COCKS STILL RUNNING THE COOP? AH, TO BE SURE. ||| You ain't king of shit around here no more. ||| He rules the roost around here. ||| Darby, he wanted to be the ruler of the world, you know?"
oksa pois,4,"Oletko nähnyt Janen vihaisena? Siinä ovat oksat poissa. ||| Steve laulaa oksat pois siitä kansallislaulusta nyt, vai mitä Steve? ||| Kohta tänne sataa faneja niin että oksat pois. ||| Nousen kohta ylös ja järjestän sellaisen kohtauksen että oksat pois.","Have you ever seen Jane in full flight? ||| Steve's gonna sing the crap out of that national anthem now, aren't you, Steve? ||| Gonna be a lot of fans in here soon, yeah. ||| Paul, I'm gonna get up and make the biggest scene you can imagine."
pata kattila soida,4,- Pata kattilaa soimaan! ||| - Pata kattilaa soimaa. ||| -Pata kattilaa soimaa. ||| Pata kattilaa soimaa.,Double standards! ||| - Look who's talking. ||| It takes one to know one. ||| Yeah? Look who's talking.
peukalo keskellä kämmen,4,"Ja Thomasilla kun on peukalo keskellä kämmentä. ||| Hänellä on peukalo keskellä kämmentä. ||| Minulla on peukalo keskellä kämmentä. ||| Sinulla on peukalo keskellä kämmentä, pappi.","Thomas will be very busy. He's all fingers and thumbs. ||| He seems to be all thumbs. ||| I'm all thumbs today. ||| barrie: You play like a man with ten thumbs, priest."
yritys hyvä kymmenen,4,"Yritys hyvä kymmenen. ||| Yritys hyvä kymmenen, mutta luulenpa että onnemme loppui. ||| Yritys hyvä kymmenen, vaikka häviäisitte. ||| Mutta yritys hyvä kymmenen, vai mitä?","Then give him an A for effort, Andy. ||| A great ride, friend. But I have a feeling it's about over. ||| Win or lose, you are giving it your best shot. ||| We had a damn good fight, didn't we?"
ei hätä olla tämä näköinen,3,"Ei hätä ole tämän näköinen. ||| Odota, ei hätä ole tämän näköinen. ||| Ei hätä ole tämän näköinen, mutta käytämme tiettyä tyyliä.","-Yeah. Don't worry about it. ||| Just hang tight. It's not that bad. ||| It looks worse than it is, it's just that we have a particular house style."
elää kuin pelto,3,Täällähän eletään kuin pellossa. ||| Eihän kukaan pystyisi valvomaan rahankäyttöänne. Voisitte elää kuin pellossa ilman kontrollia. ||| Eukko elää kuin pellossa.,"Nasty motherfuckers. Got no goddamned home-training. ||| You'd be like a pig in a barley field, with no control. ||| Whoa. Homegirl clearly never met a trashcan."
heittää,3,Heitän vain yhden voimisteluliikkeen... ||| Heitämme pikkuisen herjaa. ||| Minä heitän sinut.,I'll just do one of my gymnastics moves to... ||| Come on. ||| I'll take you.
"heittää,kankkula kaivo",3,- Että heität tulevaisuutesi kankkulan kaivoon. ||| Joko heität työsi ja perheesi kankkulan kaivoon - tai otat taas elämäsi hallintaan. ||| Haluatko heittää Kankkulan kaivoon ne rahat?,"I'm afraid you're gonna throw away your whole future. ||| Either throw away everything you've worked for, including your family, or take back control of your life. ||| You want to see that money go out the front door?"
lähteä lapanen,3,Taisin juoda liikaa ja asiat lähtivät lapasesta - ja tein jotain tyhmää. ||| Hittolainen. - Nyt se lähtee lapasesta. ||| Mutta veli Marinus - on lähtenyt lapasesta.,"Look, I guess I had too much to drink and things got out of control and I did something really bad. ||| Now it's starting to just spin out of control. ||| But Brother Marinus... has gone out of control."
mennä putki,3,"Se meni putkeen. ||| Jokin ilmiselvästi meni putkeen, koska tienasitte miljoonan. ||| No, jos tämä kaikki menee putkeen niin haluan tehdä sen oikein.","- That's right. All the way. ||| Obviously it was something because you made a million bucks in two months. ||| Well, if this all connects, I want to do it right."
soitella sota,3,"Elena lähti soitellen sotaan. ||| Saat käyttöösi tutkia, satelliitteja ja pari lentokonetta. Emme ryntää soitellen sotaan. ||| Et voi lähteä soitellen sotaan avaruusolentoja vastaan.","She went in with no extraction plan, no idea how to find mack. ||| Ground troops are still out. ||| Fighting Alchemy or Savitar or aliens isn't something you just show up and try."
ei olla kaikki muumi laakso,2,Hänellä ei ole kaikki muumit laaksossa. ||| Minulla ei ole kaikki muumit laaksossa.,She's not in her right mind. ||| You might've noticed I'm a few raisins short of a full scoop.
juosta pää kolmas jalka,2,Sitten juoksette pää kolmantena jalkana luoksemme. ||| He juoksivat pää kolmantena jalkana.,Then you flock to us. Huh? ||| They preferred to run.
järki jää,2,"Onko järkesi jäässä, Ante? ||| - Onko sulta perkele järki jäässä?","No, Ante, are you stupid? ||| Have you gone mad?"
kuin seipä niellä,2,"Kuin seipään niellyt. ||| Ed, olet kuin seipään niellyt.","No, not a stuffed fish. A boiled owl. ||| Ed... You're like a stick in the mud over here."
kylmä kuin ryssä helvetti,2,On kylmä kuin ryssän helvetissä. ||| Kylmä kuin ryssän helvetissä.,Can't tell you. I'm as cold as a witch's tit. ||| Colder than a witch's titty out there.
nenän#valkaisu,2,"Miten nenänvalkaisu sujuu? ||| Miten sujuu? -Mikä? No liikunta, tupakkalakko, nenänvalkaisu...","How's the drying out going? ||| You know: exercise, no smoking, no drinking..."
vasta#rannan#kiiski,2,"Et enää erota vastarannankiiskejä. ||| En halua olla vastarannankiiski, mutta nautin tästä.","No more dismissing anyone who disagrees. ||| I think that's the point! I don't mean to be a contrarian, - but I'm enjoying this."
"auki,olla hukassa",1,"Jos tunnet olevasi hukassa, - jos haluat puhua, oveni on auki.","I only want you to know that if you feel like you're under water, if you need to talk, my door is open."
"auki,rysä päältä",1,Mainitse yksikin toinen kummallisuus. Jäit kiinni rysän päältä varastaessasi kolikoita Loganin aukion lähteestä.,I caught you stealing a bunch of coins out of the fountain at Logan Circle.
"auki,vaihe",1,"Jos haluatte pysyä auki, osallistut päiväseminaariin jossa esitellään käsienpesun 32 vaihetta.","If you wish to remain open, you will attend a one day seminar exploring the 32 steps of proper hand sanitation."
ei kauan nokka tuhista,1,No DNA:ssa ei kauan nokka tuhise.,The DNA testing is a piece of cake.
ei olla jänis selkä,1,Täs ei olla jäniksen selässä. Deadlinet ei tuu vastaan aikoihin.,"I'm not in a rush, my deadline is far away."
ei olla kaikki intiaani kanootti,1,"Sillä, joka hommasi sinut ilmiantajaksi, ei ollut kaikki intiaanit kanootissa.",Listen. Whoever targeted you as an informant was asleep at the wheel.
"heittää,jumala selkä takana",1,Nuori mies heittää tikkaa baarissa jumalan selän takana.,"- Young guy, playing darts in a bar in the middle of nowhere. Yeah... yeah, that's him, that's Neal."
"heittää,soittaa suu",1,"Hän soitti suurlähetystöön, joka heitti pallon meille.","She contacted the embassy in Kabul, and the deputy chief of mission kicked her over to us."
hymyillä kuin hanko keksiä,1,"Onneissaan Ykän lähdöstä, Beatrice hymyilee kuin hangon keksi.","Thrilled that George was leaving, Beatrice beamed like a Cheshire cat,"
juosi kustu,1,"En halua juosten kustua anteeksipyyntöäsi, vaan lupauksen.",I don't want your half-assed apology. I want a promise from you.
kuin kala ilman polku#pyörä,1,"Kuten Gloria Steinem sanoi - ""Nainen ilman miestä on kuin kala ilman polkupyörää.""","Like Gloria Steinem said, ""A woman without a man is like a fish without a bicycle."""
oikaista koipi,1,- Hän oikaisi koipensa.,Gave him a break.
"olla hukassa,kääntää kelkka",1,Kun kerran käännät kelkkasi olet hukassa.,"Once you tergiversate, you're lost."
pukki kaalia vartija,1,Pukki kaalimaan vartijana.,"You're kind of like the wolf guarding the henhouse, Fred."
puuro ja velli sekaisin,1,Teillä menee puurot ja vellit sekaisin!,Then why are you comparing apples and oranges?
rikkana rokka,1,Kiusallinen rauhansopimus Espanjan kanssa on rikkana rokassa.,There's always the awkward detail of Your Majesty's treaty with Spain.
sataa kuin esteri perse,1,Yksi ilta vettä satoi kuin esterin perseestä.,"One night, man, it was just raining like fuck, man."
"tumpu suora,auki",1,"lnfektion mahdollisuus kasvaa joka sekunti, jonka hän on auki. Lisäksi tuhlaat tuhansia dollareita, kun seisot siinä tumput suorina.","The rate of infection for this patient is increasing every second you keep him open, not to mention the thousands of dollars you're wasting standing here doing nothing."
"vaihe,jumala selkä takana",1,"Luulin, että ryöstelisimme jo tässä vaiheessa pankkeja - emmekä bensarekkoja jossain Jumalan selän takana.","I thought we'd be robbing banks by now, not some gas truck in the middle of nowhere."
"vaihe,oja allikko",1,"Voimme varmaankin sanoa, että tässä vaiheessa menitte ojasta allikkoon.",I never thought I'd hear him say that. Safe to say this is when the mission went from the frying pan into the fire.
"vaihe,olla hukassa",1,Missä vaiheessa aloit tuntea olevasi hukassa?,At what point did you begin to feel lost?
vaihtaa hiippa#kunta,1,Hän on vaihtamassa hiippakuntaa.,He's getting fitted for a halo.
